,acousticness,album_name,album_type,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,time_signature,track_href,track_name,type,uri,valence
0,2.95e-05,Hotspot,album,https://api.spotify.com/v1/audio-analysis/2tBsTuM63utRq96DPZGNgx,Pet Shop Boys,0.488,268787.0,0.957,2tBsTuM63utRq96DPZGNgx,0.00904,0.0,0.554,-6.115,1.0,12.0,2020-01-24,0.0592,124.997,4.0,https://api.spotify.com/v1/tracks/2tBsTuM63utRq96DPZGNgx,Will-o-the-wisp,audio_features,spotify:track:2tBsTuM63utRq96DPZGNgx,0.531
1,0.219,Hotspot,album,https://api.spotify.com/v1/audio-analysis/4Q8URBO9ZNWZRn4DrKNivY,Pet Shop Boys,0.577,215333.0,0.633,4Q8URBO9ZNWZRn4DrKNivY,0.00396,0.0,0.116,-7.92,1.0,11.0,2020-01-24,0.0361,130.081,4.0,https://api.spotify.com/v1/tracks/4Q8URBO9ZNWZRn4DrKNivY,You are the one,audio_features,spotify:track:4Q8URBO9ZNWZRn4DrKNivY,0.204
2,0.00199,Hotspot,album,https://api.spotify.com/v1/audio-analysis/1wuSlbQgnvN51YUEaaxOZ7,Pet Shop Boys,0.575,231347.0,0.894,1wuSlbQgnvN51YUEaaxOZ7,0.21,8.0,0.463,-6.073,1.0,11.0,2020-01-24,0.0391,127.01,4.0,https://api.spotify.com/v1/tracks/1wuSlbQgnvN51YUEaaxOZ7,Happy people,audio_features,spotify:track:1wuSlbQgnvN51YUEaaxOZ7,0.32
3,0.0224,Hotspot,album,https://api.spotify.com/v1/audio-analysis/44AZq19q47nwK27xKdTsCs,"Pet Shop Boys, Years & Years",0.643,206160.0,0.736,44AZq19q47nwK27xKdTsCs,5.94e-05,9.0,0.34,-6.159,0.0,14.0,2020-01-24,0.0428,124.993,4.0,https://api.spotify.com/v1/tracks/44AZq19q47nwK27xKdTsCs,Dreamland,audio_features,spotify:track:44AZq19q47nwK27xKdTsCs,0.696
4,0.189,Hotspot,album,https://api.spotify.com/v1/audio-analysis/05EZFsrbdo1Xl0IzPxlhlp,Pet Shop Boys,0.51,300520.0,0.602,05EZFsrbdo1Xl0IzPxlhlp,0.685,4.0,0.118,-9.508,0.0,7.0,2020-01-24,0.0313,130.021,4.0,https://api.spotify.com/v1/tracks/05EZFsrbdo1Xl0IzPxlhlp,Hoping for a miracle,audio_features,spotify:track:05EZFsrbdo1Xl0IzPxlhlp,0.31
5,0.0122,Hotspot,album,https://api.spotify.com/v1/audio-analysis/1zXoqxprzZ6LOMUzgVCdSv,Pet Shop Boys,0.599,242907.0,0.806,1zXoqxprzZ6LOMUzgVCdSv,0.000401,0.0,0.311,-5.635,0.0,4.0,2020-01-24,0.0277,123.018,4.0,https://api.spotify.com/v1/tracks/1zXoqxprzZ6LOMUzgVCdSv,I don't wanna,audio_features,spotify:track:1zXoqxprzZ6LOMUzgVCdSv,0.422
6,0.0337,Hotspot,album,https://api.spotify.com/v1/audio-analysis/1Zk2EzgePCrhWJfux6M95x,Pet Shop Boys,0.721,248520.0,0.919,1Zk2EzgePCrhWJfux6M95x,0.221,2.0,0.161,-4.363,1.0,12.0,2020-01-24,0.0449,117.963,4.0,https://api.spotify.com/v1/tracks/1Zk2EzgePCrhWJfux6M95x,Monkey business,audio_features,spotify:track:1Zk2EzgePCrhWJfux6M95x,0.904
7,0.0219,Hotspot,album,https://api.spotify.com/v1/audio-analysis/12HIYreg6smONYrJIs16oe,Pet Shop Boys,0.579,218053.0,0.719,12HIYreg6smONYrJIs16oe,0.18,7.0,0.284,-6.775,1.0,7.0,2020-01-24,0.0262,104.031,4.0,https://api.spotify.com/v1/tracks/12HIYreg6smONYrJIs16oe,Only the dark,audio_features,spotify:track:12HIYreg6smONYrJIs16oe,0.311
8,0.0435,Hotspot,album,https://api.spotify.com/v1/audio-analysis/059cbvl4kGWNdIdFazGsuE,Pet Shop Boys,0.561,327200.0,0.685,059cbvl4kGWNdIdFazGsuE,0.779,7.0,0.18,-6.057,0.0,10.0,2020-01-24,0.0274,115.021,4.0,https://api.spotify.com/v1/tracks/059cbvl4kGWNdIdFazGsuE,Burning the heather,audio_features,spotify:track:059cbvl4kGWNdIdFazGsuE,0.368
9,0.00248,Hotspot,album,https://api.spotify.com/v1/audio-analysis/6ghMn61YoYtBpBsly7xThB,Pet Shop Boys,0.648,282120.0,0.898,6ghMn61YoYtBpBsly7xThB,0.731,0.0,0.109,-6.066,1.0,6.0,2020-01-24,0.0701,120.014,4.0,https://api.spotify.com/v1/tracks/6ghMn61YoYtBpBsly7xThB,Wedding in Berlin,audio_features,spotify:track:6ghMn61YoYtBpBsly7xThB,0.248
